Judul,Klasifikasi
CK-4C PR. Alam Subur,"Berita acara Pencacahan dan perajangan pita cukai rusak, sisa baik, dan pelat cetak rusak"
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2005,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2006,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2007,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Berita Acara Pencacahan BKC Alkohol PT Perkebunan Nusantara XI 2008,Berita acara Pencacahan Etil Alkohol (EA) dan Minuman Mengandung Etil Alkohol
Permohonan Perpanjangan Izin Impor Sementara,Izin impor sementara
Permohonan Penutupan Sebagai Kawasan Pabean PT Paiton,Izin kawasan pabean
Penetapan dan Pencabutan PT Pelindo sebagai Tempat Penimbunan Sementara,Izin tempat penimbunan sementara
Permohonan Penutupan Izin Impor Sementara PT Paiton,Izin tempat penimbunan sementara
Permohonan Penetapan TPS PT Paiton,Izin tempat penimbunan sementara
Pencabutan Pembekuan PR Merah Sejati dan PR Djaya Putra,Keputusan pembekuan NPPBKC
NPPBKC PR Argun,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Mahameru,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
Pencabutan NPPBKC PR Pelangi Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Mitra Makmur,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Prima Abadi Sejahtera,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Prima Abadi Sejahtera,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Rina Jaya,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Rina Jaya,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Jaya Agung,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Nasional,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Nasional,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Sumber Rejeki Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC Sumber Rejeki Hasanah,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Sumber Rejeki Abadi,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
NPPBKC PR Eka Jaya IV,Keputusan pemberian Nomor Pokok pengusaha barang Kena cukai (NPPBKC)
Pencabutan NPPBKC PR Gudang Berkah,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Aman Jaya Family,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Manalagi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Menyono Jago,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Djaya Putra,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Dua Jadi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Sumber Makmur Abadi,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Jaya Agung,Keputusan pencabutan NPPBKC
Pencabutan NPPBKC PR Nasional,Keputusan pencabutan NPPBKC
Penetapan HJE PR Pelangi Abadi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Dua Jadi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Berkah Jaya,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Aman Jaya Family,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Manalagi,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Argun,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Kenaikan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Kenaikan HJE PR Jaya Agung,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
Penetapan Penurunan HJE PR Nasional,Keputusan Penetapan harga Jual Eceran (HJE) dan Tarif cukai
